,is_coi_pred,is_register_pred,is_fund_pred,is_open_code,is_open_data,PMID,Unnamed: 0.1,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Unnamed: 0
48,True,False,True,False,False,16140633,37804,Early environmental origins of neurodegenerative disease in later life,"Landrigan PJ, Sonawane B, Butler RN, Trasande L, Callan R, Droller D.",Environ Health Perspect. 2005 Sep;113(9):1230-3. doi: 10.1289/ehp.7571.,Landrigan PJ,Environ Health Perspect,2005,2005/09/06,PMC1280407,,10.1289/ehp.7571,
52,True,False,True,False,False,16279840,37785,Persistent amyloidosis following suppression of Abeta production in a transgenic model of Alzheimer disease,"Jankowsky JL, Slunt HH, Gonzales V, Savonenko AV, Wen JC, Jenkins NA, Copeland NG, Younkin LH, Lester HA, Younkin SG, Borchelt DR.",PLoS Med. 2005 Dec;2(12):e355. doi: 10.1371/journal.pmed.0020355. Epub 2005 Nov 15.,Jankowsky JL,PLoS Med,2005,2005/11/11,PMC1283364,,10.1371/journal.pmed.0020355,
53,True,False,True,False,False,12227833,37984,Cingulate cortex hypoperfusion predicts Alzheimer's disease in mild cognitive impairment,"Huang C, Wahlund LO, Svensson L, Winblad B, Julin P.",BMC Neurol. 2002 Sep 12;2:9. doi: 10.1186/1471-2377-2-9.,Huang C,BMC Neurol,2002,2002/09/14,PMC128832,,10.1186/1471-2377-2-9,
59,False,False,False,,,14664240,37924,ADDLs: a new explanation for Alzheimer disease?,Freeman K.,Environ Health Perspect. 2003 Nov;111(15):A810. doi: 10.1289/ehp.111-a810.,Freeman K,Environ Health Perspect,2003,2003/12/11,PMC1316908,,10.1289/ehp.111-a810,
60,True,False,True,False,False,16363913,37779,Breaking up (amyloid) is hard to do,"Gandy S, Heppner FL.",PLoS Med. 2005 Dec;2(12):e417. doi: 10.1371/journal.pmed.0020417. Epub 2005 Dec 27.,Gandy S,PLoS Med,2005,2005/12/21,PMC1322301,,10.1371/journal.pmed.0020417,
70,True,False,True,False,False,16412236,37771,Reduced hippocampal activation during episodic encoding in middle-aged individuals at genetic risk of Alzheimer's disease: a cross-sectional study,"Trivedi MA, Schmitz TW, Ries ML, Torgerson BM, Sager MA, Hermann BP, Asthana S, Johnson SC.",BMC Med. 2006 Jan 13;4:1. doi: 10.1186/1741-7015-4-1.,Trivedi MA,BMC Med,2006,2006/01/18,PMC1373642,,10.1186/1741-7015-4-1,
81,True,False,True,False,False,16533397,37750,Select estrogens within the complex formulation of conjugated equine estrogens (Premarin) are protective against neurodegenerative insults: implications for a composition of estrogen therapy to promote neuronal function and prevent Alzheimer's disease,"Zhao L, Brinton RD.",BMC Neurosci. 2006 Mar 13;7:24. doi: 10.1186/1471-2202-7-24.,Zhao L,BMC Neurosci,2006,2006/03/15,PMC1421415,,10.1186/1471-2202-7-24,
82,True,False,True,False,False,16597173,37742,Cholinesterase inhibitors: drugs looking for a disease?,"Maggini M, Vanacore N, Raschetti R.",PLoS Med. 2006 Apr;3(4):e140. doi: 10.1371/journal.pmed.0030140. Epub 2006 Apr 11.,Maggini M,PLoS Med,2006,2006/04/07,PMC1434488,,10.1371/journal.pmed.0030140,
84,True,False,True,False,False,16556306,37747,A record review of reported musculoskeletal pain in an Ontario long term care facility,"D'Astolfo CJ, Humphreys BK.",BMC Geriatr. 2006 Mar 23;6:5. doi: 10.1186/1471-2318-6-5.,D'Astolfo CJ,BMC Geriatr,2006,2006/03/25,PMC1435899,,10.1186/1471-2318-6-5,
91,False,False,True,False,False,16700849,37735,Efficacy study of galantamine in possible Alzheimer's disease with or without cerebrovascular disease and vascular dementia in Thai patients: a slow-titration regimen,"Thavichachart N, Phanthumchinda K, Chankrachang S, Praditsuwan R, Nidhinandana S, Senanarong V, Poungvarin N.",Int J Clin Pract. 2006 May;60(5):533-40. doi: 10.1111/j.1368-5031.2006.00892.x.,Thavichachart N,Int J Clin Pract,2006,2006/05/17,PMC1473179,,10.1111/j.1368-5031.2006.00892.x,
95,True,False,True,False,False,16551348,37748,The development of a multidisciplinary fall risk evaluation tool for demented nursing home patients in the Netherlands,"Neyens JC, Dijcks BP, van Haastregt JC, de Witte LP, van den Heuvel WJ, Crebolder HF, Schols JM.",BMC Public Health. 2006 Mar 21;6:74. doi: 10.1186/1471-2458-6-74.,Neyens JC,BMC Public Health,2006,2006/03/23,PMC1479328,,10.1186/1471-2458-6-74,
101,False,False,False,False,False,16640790,37737,Serotonin 5-HT2A and 5-HT6 receptors in the prefrontal cortex of Alzheimer and normal aging patients,"Lorke DE, Lu G, Cho E, Yew DT.",BMC Neurosci. 2006 Apr 27;7:36. doi: 10.1186/1471-2202-7-36.,Lorke DE,BMC Neurosci,2006,2006/04/28,PMC1523198,,10.1186/1471-2202-7-36,
105,True,False,False,False,False,16824219,37718,"Association of HFE common mutations with Parkinson's disease, Alzheimer's disease and mild cognitive impairment in a Portuguese cohort","Guerreiro RJ, Bras JM, Santana I, Januario C, Santiago B, Morgadinho AS, Ribeiro MH, Hardy J, Singleton A, Oliveira C.",BMC Neurol. 2006 Jul 6;6:24. doi: 10.1186/1471-2377-6-24.,Guerreiro RJ,BMC Neurol,2006,2006/07/11,PMC1534050,,10.1186/1471-2377-6-24,
106,True,False,True,False,True,16895436,37705,Identification of mitochondrial DNA polymorphisms that alter mitochondrial matrix pH and intracellular calcium dynamics,"Kazuno AA, Munakata K, Nagai T, Shimozono S, Tanaka M, Yoneda M, Kato N, Miyawaki A, Kato T.",PLoS Genet. 2006 Aug;2(8):e128. doi: 10.1371/journal.pgen.0020128.,Kazuno AA,PLoS Genet,2006,2006/08/10,PMC1534079,,10.1371/journal.pgen.0020128,
108,True,False,True,False,False,16845106,37715,KOBAS server: a web-based platform for automated annotation and pathway identification,"Wu J, Mao X, Cai T, Luo J, Wei L.",Nucleic Acids Res. 2006 Jul 1;34(Web Server issue):W720-4. doi: 10.1093/nar/gkl167.,Wu J,Nucleic Acids Res,2006,2006/07/18,PMC1538915,,10.1093/nar/gkl167,
115,False,False,False,,,1982433,38160,Alzheimer's disease and aluminum toxicology,"Corain B, Bombi GG, Tapparo A, Nicolini M, Zatta P, Perazzolo M, Favarato M.",Environ Health Perspect. 1990 Nov;89:233-5. doi: 10.1289/ehp.9089233.,Corain B,Environ Health Perspect,1990,1990/11/01,PMC1567779,,10.1289/ehp.9089233,
116,False,False,False,False,False,4076080,38183,Relationship of aluminum to Alzheimer's disease,Perl DP.,Environ Health Perspect. 1985 Nov;63:149-53. doi: 10.1289/ehp.8563149.,Perl DP,Environ Health Perspect,1985,1985/11/01,PMC1568482,,10.1289/ehp.8563149,
128,True,False,True,False,False,17010213,37689,Characteristics and trends in required home care by GPs in Austria: diseases and functional status of patients,"Kamenski G, Fink W, Maier M, Pichler I, Zehetmayer S.",BMC Fam Pract. 2006 Oct 1;7:55. doi: 10.1186/1471-2296-7-55.,Kamenski G,BMC Fam Pract,2006,2006/10/03,PMC1592492,,10.1186/1471-2296-7-55,
129,False,False,True,False,False,17002801,37691,Modulation of Abeta42 low-n oligomerization using a novel yeast reporter system,"Bagriantsev S, Liebman S.",BMC Biol. 2006 Sep 26;4:32. doi: 10.1186/1741-7007-4-32.,Bagriantsev S,BMC Biol,2006,2006/09/28,PMC1594584,,10.1186/1741-7007-4-32,
135,False,False,True,False,False,12816543,37949,"Multiple luteinizing hormone receptor (LHR) protein variants, interspecies reactivity of anti-LHR mAb clone 3B5, subcellular localization of LHR in human placenta, pelvic floor and brain, and possible role for LHR in the development of abnormal pregnancy, pelvic floor disorders and Alzheimer's disease","Bukovsky A, Indrapichate K, Fujiwara H, Cekanova M, Ayala ME, Dominguez R, Caudle MR, Wimalsena J, Elder RF, Copas P, Foster JS, Fernando RI, Henley DC, Upadhyaya NB.",Reprod Biol Endocrinol. 2003 Jun 3;1:46. doi: 10.1186/1477-7827-1-46.,Bukovsky A,Reprod Biol Endocrinol,2003,2003/06/21,PMC161821,,10.1186/1477-7827-1-46,
147,False,False,True,False,False,17090317,37677,Novel subtractive transcription-based amplification of mRNA (STAR) method and its application in search of rare and differentially expressed genes in AD brains,"Liu QY, Sooknanan RR, Malek LT, Ribecco-Lutkiewicz M, Lei JX, Shen H, Lach B, Walker PR, Martin J, Sikorska M.",BMC Genomics. 2006 Nov 7;7:286. doi: 10.1186/1471-2164-7-286.,Liu QY,BMC Genomics,2006,2006/11/09,PMC1637111,,10.1186/1471-2164-7-286,
149,True,False,False,False,False,17096857,37675,Alzheimer's disease and type 2 diabetes mellitus: the cholinesterase connection?,"Sridhar GR, Thota H, Allam AR, Suresh Babu C, Siva Prasad A, Divakar Ch.",Lipids Health Dis. 2006 Nov 11;5:28. doi: 10.1186/1476-511X-5-28.,Sridhar GR,Lipids Health Dis,2006,2006/11/14,PMC1660566,,10.1186/1476-511X-5-28,
153,False,False,True,False,False,17137520,37668,Berberine chloride can ameliorate the spatial memory impairment and increase the expression of interleukin-1beta and inducible nitric oxide synthase in the rat model of Alzheimer's disease,"Zhu F, Qian C.",BMC Neurosci. 2006 Dec 1;7:78. doi: 10.1186/1471-2202-7-78.,Zhu F,BMC Neurosci,2006,2006/12/02,PMC1693919,,10.1186/1471-2202-7-78,
156,False,False,True,False,False,17024495,37684,The muscle protein dysferlin accumulates in the Alzheimer brain,"Galvin JE, Palamand D, Strider J, Milone M, Pestronk A.",Acta Neuropathol. 2006 Dec;112(6):665-71. doi: 10.1007/s00401-006-0147-8. Epub 2006 Oct 6.,Galvin JE,Acta Neuropathol,2006,2006/10/07,PMC1705477,,10.1007/s00401-006-0147-8,
160,True,False,True,False,False,17183681,37660,Physiological mouse brain Abeta levels are not related to the phosphorylation state of threonine-668 of Alzheimer's APP,"Sano Y, Nakaya T, Pedrini S, Takeda S, Iijima-Ando K, Iijima K, Mathews PM, Itohara S, Gandy S, Suzuki T.",PLoS One. 2006 Dec 20;1(1):e51. doi: 10.1371/journal.pone.0000051.,Sano Y,PLoS One,2006,2006/12/22,PMC1762327,,10.1371/journal.pone.0000051,
162,True,False,True,False,False,17183682,37659,Impact of neuroprotection on incidence of Alzheimer's disease,de la Fuente-Fernández R.,PLoS One. 2006 Dec 20;1(1):e52. doi: 10.1371/journal.pone.0000052.,de la Fuente-Fernández R,PLoS One,2006,2006/12/22,PMC1762379,,10.1371/journal.pone.0000052,
164,True,False,True,False,True,17183645,37661,Clues to neuro-degeneration in Niemann-Pick type C disease from global gene expression profiling,"Reddy JV, Ganley IG, Pfeffer SR.",PLoS One. 2006 Dec 20;1(1):e19. doi: 10.1371/journal.pone.0000019.,Reddy JV,PLoS One,2006,2006/12/22,PMC1762405,,10.1371/journal.pone.0000019,
176,False,False,True,False,True,17244347,37646,Pathways and genes differentially expressed in the motor cortex of patients with sporadic amyotrophic lateral sclerosis,"Lederer CW, Torrisi A, Pantelidou M, Santama N, Cavallaro S.",BMC Genomics. 2007 Jan 23;8:26. doi: 10.1186/1471-2164-8-26.,Lederer CW,BMC Genomics,2007,2007/01/25,PMC1796866,,10.1186/1471-2164-8-26,
179,False,False,True,False,False,17266761,37644,Haplotype-based association analysis of the MAPT locus in late onset Alzheimer's disease,"Mukherjee O, Kauwe JS, Mayo K, Morris JC, Goate AM.",BMC Genet. 2007 Jan 31;8:3. doi: 10.1186/1471-2156-8-3.,Mukherjee O,BMC Genet,2007,2007/02/03,PMC1800865,,10.1186/1471-2156-8-3,
189,False,False,True,False,False,17237937,37647,Intraneuronal Abeta immunoreactivity is not a predictor of brain amyloidosis-beta or neurofibrillary degeneration,"Wegiel J, Kuchna I, Nowicki K, Frackowiak J, Mazur-Kolecka B, Imaki H, Wegiel J, Mehta PD, Silverman WP, Reisberg B, Deleon M, Wisniewski T, Pirttilla T, Frey H, Lehtimäki T, Kivimäki T, Visser FE, Kamphorst W, Potempska A, Bolton D, Currie JR, Miller DL.",Acta Neuropathol. 2007 Apr;113(4):389-402. doi: 10.1007/s00401-006-0191-4. Epub 2007 Jan 20.,Wegiel J,Acta Neuropathol,2007,2007/01/24,PMC1824787,,10.1007/s00401-006-0191-4,
192,False,False,False,False,False,16944319,37699,The role of presenilin and its interacting proteins in the biogenesis of Alzheimer's beta amyloid,"Verdile G, Gandy SE, Martins RN.",Neurochem Res. 2007 Apr-May;32(4-5):609-23. doi: 10.1007/s11064-006-9131-x. Epub 2006 Aug 31.,Verdile G,Neurochem Res,2007,2006/09/01,PMC1832151,,10.1007/s11064-006-9131-x,
199,True,False,True,False,False,17505559,37595,BRCA1 may modulate neuronal cell cycle re-entry in Alzheimer disease,"Evans TA, Raina AK, Delacourte A, Aprelikova O, Lee HG, Zhu X, Perry G, Smith MA.",Int J Med Sci. 2007 May 12;4(3):140-5. doi: 10.7150/ijms.4.140.,Evans TA,Int J Med Sci,2007,2007/05/17,PMC1868658,,10.7150/ijms.4.140,
201,False,False,True,False,True,17343748,37625,Alternative ion channel splicing in mesial temporal lobe epilepsy and Alzheimer's disease,"Heinzen EL, Yoon W, Weale ME, Sen A, Wood NW, Burke JR, Welsh-Bohmer KA, Hulette CM, Sisodiya SM, Goldstein DB.",Genome Biol. 2007;8(3):R32. doi: 10.1186/gb-2007-8-3-r32.,Heinzen EL,Genome Biol,2007,2007/03/09,PMC1868939,,10.1186/gb-2007-8-3-r32,
202,False,False,True,False,False,17475015,37602,Requirement of aggregation propensity of Alzheimer amyloid peptides for neuronal cell surface binding,"Bateman DA, McLaurin J, Chakrabartty A.",BMC Neurosci. 2007 May 2;8:29. doi: 10.1186/1471-2202-8-29.,Bateman DA,BMC Neurosci,2007,2007/05/04,PMC1871596,,10.1186/1471-2202-8-29,
207,True,False,True,False,False,17426120,37612,Identification and characterization of OGG1 mutations in patients with Alzheimer's disease,"Mao G, Pan X, Zhu BB, Zhang Y, Yuan F, Huang J, Lovell MA, Lee MP, Markesbery WR, Li GM, Gu L.",Nucleic Acids Res. 2007;35(8):2759-66. doi: 10.1093/nar/gkm189. Epub 2007 Apr 10.,Mao G,Nucleic Acids Res,2007,2007/04/12,PMC1885677,,10.1093/nar/gkm189,
208,False,False,True,False,False,17399897,37614,p53 is upregulated in Alzheimer's disease and induces tau phosphorylation in HEK293a cells,"Hooper C, Meimaridou E, Tavassoli M, Melino G, Lovestone S, Killick R.",Neurosci Lett. 2007 May 11;418(1):34-7. doi: 10.1016/j.neulet.2007.03.026. Epub 2007 Mar 15.,Hooper C,Neurosci Lett,2007,2007/04/03,PMC1885960,,10.1016/j.neulet.2007.03.026,
214,True,False,True,False,False,17565664,37578,Fibrinogen gamma-A chain precursor in CSF: a candidate biomarker for Alzheimer's disease,"Lee JW, Namkoong H, Kim HK, Kim S, Hwang DW, Na HR, Ha SA, Kim JR, Kim JW.",BMC Neurol. 2007 Jun 12;7:14. doi: 10.1186/1471-2377-7-14.,Lee JW,BMC Neurol,2007,2007/06/15,PMC1896177,,10.1186/1471-2377-7-14,
220,True,False,True,False,False,17559686,37579,A case-control study of occupational magnetic field exposure and Alzheimer's disease: results from the California Alzheimer's Disease Diagnosis and Treatment Centers,"Davanipour Z, Tseng CC, Lee PJ, Sobel E.",BMC Neurol. 2007 Jun 9;7:13. doi: 10.1186/1471-2377-7-13.,Davanipour Z,BMC Neurol,2007,2007/06/15,PMC1906833,,10.1186/1471-2377-7-13,
221,True,False,False,False,False,17584929,37574,Neuropathological findings processed by artificial neural networks (ANNs) can perfectly distinguish Alzheimer's patients from controls in the Nun Study,"Grossi E, Buscema MP, Snowdon D, Antuono P.",BMC Neurol. 2007 Jun 21;7:15. doi: 10.1186/1471-2377-7-15.,Grossi E,BMC Neurol,2007,2007/06/23,PMC1913539,,10.1186/1471-2377-7-15,
223,True,False,True,False,False,17653262,37552,Polyglutamine expansion mutation yields a pathological epitope linked to nucleation of protein aggregate: determinant of Huntington's disease onset,"Sugaya K, Matsubara S, Kagamihara Y, Kawata A, Hayashi H.",PLoS One. 2007 Jul 25;2(7):e635. doi: 10.1371/journal.pone.0000635.,Sugaya K,PLoS One,2007,2007/07/27,PMC1914377,,10.1371/journal.pone.0000635,
227,True,False,True,False,False,17653279,37550,Heterologous amyloid seeding: revisiting the role of acetylcholinesterase in Alzheimer's disease,"Jean L, Thomas B, Tahiri-Alaoui A, Shaw M, Vaux DJ.",PLoS One. 2007 Jul 25;2(7):e652. doi: 10.1371/journal.pone.0000652.,Jean L,PLoS One,2007,2007/07/27,PMC1920558,,10.1371/journal.pone.0000652,
232,True,False,True,False,False,17545194,37584,Cross-species microarray analysis with the OSCAR system suggests an INSR->Pax6->NQO1 neuro-protective pathway in aging and Alzheimer's disease,"Lu Y, He X, Zhong S.",Nucleic Acids Res. 2007 Jul;35(Web Server issue):W105-14. doi: 10.1093/nar/gkm408. Epub 2007 Jun 1.,Lu Y,Nucleic Acids Res,2007,2007/06/05,PMC1933158,,10.1093/nar/gkm408,
233,False,False,True,False,False,17601350,37570,A genetic association analysis of cognitive ability and cognitive ageing using 325 markers for 109 genes associated with oxidative stress or cognition,"Harris SE, Fox H, Wright AF, Hayward C, Starr JM, Whalley LJ, Deary IJ.",BMC Genet. 2007 Jul 2;8:43. doi: 10.1186/1471-2156-8-43.,Harris SE,BMC Genet,2007,2007/07/03,PMC1933580,,10.1186/1471-2156-8-43,
238,False,False,True,False,False,17650315,37554,Chronic administration of R-flurbiprofen attenuates learning impairments in transgenic amyloid precursor protein mice,"Kukar T, Prescott S, Eriksen JL, Holloway V, Murphy MP, Koo EH, Golde TE, Nicolle MM.",BMC Neurosci. 2007 Jul 24;8:54. doi: 10.1186/1471-2202-8-54.,Kukar T,BMC Neurosci,2007,2007/07/26,PMC1948891,,10.1186/1471-2202-8-54,
242,True,False,True,False,False,17760499,37526,Reducing amyloid plaque burden via ex vivo gene delivery of an Abeta-degrading protease: a novel therapeutic approach to Alzheimer disease,"Hemming ML, Patterson M, Reske-Nielsen C, Lin L, Isacson O, Selkoe DJ.",PLoS Med. 2007 Aug;4(8):e262. doi: 10.1371/journal.pmed.0040262.,Hemming ML,PLoS Med,2007,2007/09/01,PMC1952204,,10.1371/journal.pmed.0040262,
246,True,False,True,False,False,17878930,37514,DNA methylation in the human cerebral cortex is dynamically regulated throughout the life span and involves differentiated neurons,"Siegmund KD, Connor CM, Campan M, Long TI, Weisenberger DJ, Biniszkiewicz D, Jaenisch R, Laird PW, Akbarian S.",PLoS One. 2007 Sep 19;2(9):e895. doi: 10.1371/journal.pone.0000895.,Siegmund KD,PLoS One,2007,2007/09/20,PMC1964879,,10.1371/journal.pone.0000895,
248,False,False,True,False,False,17465978,37603,Expansion of the calcium hypothesis of brain aging and Alzheimer's disease: minding the store,"Thibault O, Gant JC, Landfield PW.",Aging Cell. 2007 Jun;6(3):307-17. doi: 10.1111/j.1474-9726.2007.00295.x. Epub 2007 Apr 26.,Thibault O,Aging Cell,2007,2007/05/01,PMC1974776,,10.1111/j.1474-9726.2007.00295.x,
249,True,False,True,False,False,17504350,37596,EXACT: rivastigmine improves the high prevalence of attention deficits and mood and behaviour symptoms in Alzheimer's disease,"Gauthier S, Juby A, Rehel B, Schecter R.",Int J Clin Pract. 2007 Jun;61(6):886-95. doi: 10.1111/j.1742-1241.2007.01387.x.,Gauthier S,Int J Clin Pract,2007,2007/05/17,PMC1974793,,10.1111/j.1742-1241.2007.01387.x,
261,True,False,True,False,False,17784957,37522,A novel p38 alpha MAPK inhibitor suppresses brain proinflammatory cytokine up-regulation and attenuates synaptic dysfunction and behavioral deficits in an Alzheimer's disease mouse model,"Munoz L, Ralay Ranaivo H, Roy SM, Hu W, Craft JM, McNamara LK, Chico LW, Van Eldik LJ, Watterson DM.",J Neuroinflammation. 2007 Sep 4;4:21. doi: 10.1186/1742-2094-4-21.,Munoz L,J Neuroinflammation,2007,2007/09/06,PMC2014744,,10.1186/1742-2094-4-21,
263,True,False,True,False,False,17704129,37539,Defective DNA base excision repair in brain from individuals with Alzheimer's disease and amnestic mild cognitive impairment,"Weissman L, Jo DG, Sørensen MM, de Souza-Pinto NC, Markesbery WR, Mattson MP, Bohr VA.",Nucleic Acids Res. 2007;35(16):5545-55. doi: 10.1093/nar/gkm605. Epub 2007 Aug 17.,Weissman L,Nucleic Acids Res,2007,2007/08/21,PMC2018628,,10.1093/nar/gkm605,
268,True,False,True,False,False,17760991,37525,The clinical meaningfulness of ADAS-Cog changes in Alzheimer's disease patients treated with donepezil in an open-label trial,"Rockwood K, Fay S, Gorman M, Carver D, Graham JE.",BMC Neurol. 2007 Aug 30;7:26. doi: 10.1186/1471-2377-7-26.,Rockwood K,BMC Neurol,2007,2007/09/01,PMC2034585,,10.1186/1471-2377-7-26,
271,False,False,False,False,False,17680369,37545,Motor-skill learning in Alzheimer's disease: a review with an eye to the clinical practice,"van Halteren-van Tilborg IA, Scherder EJ, Hulstijn W.",Neuropsychol Rev. 2007 Sep;17(3):203-12. doi: 10.1007/s11065-007-9030-1.,van Halteren-van Tilborg IA,Neuropsychol Rev,2007,2007/08/08,PMC2039835,,10.1007/s11065-007-9030-1,
272,False,False,True,False,False,17917109,37507,Heat shock proteins and amateur chaperones in amyloid-Beta accumulation and clearance in Alzheimer's disease,"Wilhelmus MM, de Waal RM, Verbeek MM.",Mol Neurobiol. 2007 Jun;35(3):203-16. doi: 10.1007/s12035-007-0029-7.,Wilhelmus MM,Mol Neurobiol,2007,2007/10/06,PMC2039847,,10.1007/s12035-007-0029-7,
275,True,False,True,False,False,17971867,37495,Prognostic value of posteromedial cortex deactivation in mild cognitive impairment,"Petrella JR, Prince SE, Wang L, Hellegers C, Doraiswamy PM.",PLoS One. 2007 Oct 31;2(10):e1104. doi: 10.1371/journal.pone.0001104.,Petrella JR,PLoS One,2007,2007/11/01,PMC2040216,,10.1371/journal.pone.0001104,
278,True,False,True,False,False,17973577,37494,Systematic in vivo analysis of the intrinsic determinants of amyloid Beta pathogenicity,"Luheshi LM, Tartaglia GG, Brorsson AC, Pawar AP, Watson IE, Chiti F, Vendruscolo M, Lomas DA, Dobson CM, Crowther DC.",PLoS Biol. 2007 Oct 30;5(11):e290. doi: 10.1371/journal.pbio.0050290.,Luheshi LM,PLoS Biol,2007,2007/11/02,PMC2043051,,10.1371/journal.pbio.0050290,
279,True,False,True,False,False,17868476,37516,Calcium-sensitive regulation of monoamine oxidase-A contributes to the production of peroxyradicals in hippocampal cultures: implications for Alzheimer disease-related pathology,"Cao X, Wei Z, Gabriel GG, Li X, Mousseau DD.",BMC Neurosci. 2007 Sep 16;8:73. doi: 10.1186/1471-2202-8-73.,Cao X,BMC Neurosci,2007,2007/09/18,PMC2048967,,10.1186/1471-2202-8-73,
280,False,False,False,False,False,9823988,38062,Possible relationship of the apolipoprotein E (ApoE) epsilon4 allele to prostate cancer,Lehrer S.,Br J Cancer. 1998 Nov;78(10):1398. doi: 10.1038/bjc.1998.695.,Lehrer S,Br J Cancer,1998,1998/11/21,PMC2063178,,10.1038/bjc.1998.695,
287,False,False,False,False,False,16966416,37695,The action behind the words: embryonic stem cell research marches on,Leslie M.,J Cell Biol. 2006 Sep 11;174(6):743-6. doi: 10.1083/jcb.200608162.,Leslie M,J Cell Biol,2006,2006/09/13,PMC2064327,,10.1083/jcb.200608162,
289,False,False,True,False,False,17724122,37536,Deletion of tumor necrosis factor death receptor inhibits amyloid beta generation and prevents learning and memory deficits in Alzheimer's mice,"He P, Zhong Z, Lindholm K, Berning L, Lee W, Lemere C, Staufenbiel M, Li R, Shen Y.",J Cell Biol. 2007 Aug 27;178(5):829-41. doi: 10.1083/jcb.200705042.,He P,J Cell Biol,2007,2007/08/29,PMC2064547,,10.1083/jcb.200705042,
